open,high,low,close,volume
78.98,79.54,78.72,79.03,23549000
79.4,79.7,78.69,79.05,19404900
78.08,79.28,78.02,79.21,16470100
79.39,79.39,78.51,78.66,15122700
78.63,79.64,78.62,79.55,17199300
79.19,79.3,77.51,77.57,25453700
77.87,78.32,77.19,78.15,14950600
78.29,78.46,77.3,77.56,17394900
78.35,79.49,78.33,79.4,15040900
79.54,79.73,78.98,79.23,12920100
79.19,79.59,77.97,78.89,25204800
79.4,79.43,78.95,79.18,10499200
78.83,78.86,77.75,77.86,13922900
77.92,78.2,77.28,77.52,16967000
77.55,78.43,76.74,76.74,18902700
76.6,76.98,76.26,76.79,25451500
77.01,77.17,75.26,75.33,19769800
75.71,75.94,74.79,74.96,17724400
75.07,76.2,74.8,75.66,19473500
75.73,76.63,74.91,76.58,24575600
76.53,77.1,75.6,76.29,15666800
76.18,76.29,75.19,75.46,18185500
75.5,75.75,73.87,73.98,23630400
74.42,74.58,73.58,73.72,21910000
75.09,76.71,74.91,76.46,27917400
76.21,76.53,75.46,75.58,18085600
75.73,75.79,74.07,74.16,18958900
74.51,75.72,74.21,75.66,14677700
76.89,77.42,76.46,77.31,34201200
76.81,77.8,76.66,77.01,29535300
76.95,77.5,76.69,77.41,28092000
77.62,78.04,77.23,77.79,27823700
77.61,77.64,76.8,76.95,13833800
77.24,77.5,75.98,76.25,16877200
75.91,76.54,75.76,76.41,15844200
76.64,77.41,76.09,77.23,13879800
77.14,77.3,76.18,76.24,11877000
76.49,76.55,75.37,75.83,24236900
75.49,75.77,75.15,75.26,14773300
74.74,75.41,74.28,75.05,18217900
75.33,76.15,74.95,75.21,19826300
75.12,75.47,73.04,73.21,26056300
73.05,73.79,72.63,73.39,25856200
73.62,74.12,73.2,74.08,19695900
74.03,74.07,72.35,72.57,22998500
71.39,72.89,71.35,72.49,24011600
72.42,73.27,72.26,72.77,18759900
73.04,73.33,71.36,71.52,19990700
71.34,72.12,70.69,71.95,31266000
71.64,72.25,71.08,71.23,21043900
70.36,71.24,69.09,71.13,39267500
71.49,73.19,71.44,73.03,17647200
72.77,73.67,72.69,73.63,21628500
72.6,73.25,71.72,71.91,21540700
